time,bond_closing_yields_1year,bond_closing_yields_2year,bond_closing_yields_5year,bond_closing_yields_10year,Swap_rates_1year,Swap_rates_2year,Swap_rates_3year,Swap_rates_4year,Swap_rates_5year,Swap_rates_7year,Swap_rates_10year,Swap_rates_15year,Swap_rates_2.10year
15-Feb,3.420888333,3.18,3.22,3.27,3.58,3.59,3.61,3.63,3.66,3.71,3.76,3.85,17
15-Mar,3.431848333,3.15,3.21,3.3,3.57,3.56,3.59,3.62,3.66,3.72,3.79,3.89,23
15-Apr,3.436088333,3.12,3.11,3.25,3.54,3.51,3.52,3.55,3.59,3.66,3.74,3.83,22
15-May,3.34097,3.1,3.21,3.66,3.4,3.41,3.47,3.55,3.65,3.8,3.97,4.11,56
15-Jun,2.872561667,2.97,3.18,3.76,3.18,3.2,3.29,3.41,3.54,3.76,3.99,4.21,79
15-Jul,2.801453333,2.67,2.85,3.46,2.93,2.94,3.01,3.13,3.27,3.52,3.78,4.02,85
15-Aug,2.628743333,2.56,2.69,3.28,2.82,2.86,2.93,3.03,3.15,3.36,3.61,3.86,75
15-Sep,2.61215,2.48,2.69,3.29,2.71,2.74,2.84,2.96,3.09,3.33,3.59,3.84,84
15-Oct,2.615845,2.52,2.73,3.33,2.72,2.72,2.8,2.91,3.03,3.27,3.52,3.77,79
15-Nov,2.615845,2.6,2.94,3.51,2.73,2.75,2.83,2.95,3.09,3.34,3.6,3.85,84
15-Dec,2.617705,2.61,2.96,3.55,2.74,2.79,2.9,3.03,3.16,3.41,3.66,3.92,86
16-Jan,2.48794,2.43,2.76,3.31,2.66,2.7,2.8,2.93,3.05,3.28,3.51,3.78,81
16-Feb,2.400826429,2.36,2.6,3.06,2.53,2.53,2.59,2.69,2.79,2.98,3.2,3.46,67
16-Mar,2.13572,2.1,2.41,3.02,2.31,2.31,2.37,2.47,2.59,2.81,3.07,3.37,76
16-Apr,1.918111667,2.03,2.24,2.86,2.21,2.22,2.28,2.38,2.49,2.71,2.96,3.26,74
16-May,2.016886667,2.07,2.17,2.66,2.26,2.24,2.29,2.37,2.47,2.66,2.9,3.14,65
16-Jun,2.06,2.08,2.12,2.5,2.28,2.26,2.29,2.34,2.42,2.57,2.78,3.02,52
16-Jul,1.93,1.93,1.97,2.26,2.18,2.14,2.14,2.17,2.22,2.34,2.52,2.75,38
16-Aug,1.78,1.77,1.8,2.2,2.03,1.98,2,2.03,2.09,2.22,2.42,2.66,44
16-Sep,1.85,1.89,1.97,2.39,2.08,2.03,2.05,2.11,2.17,2.32,2.51,2.78,48
16-Oct,1.88,1.94,2.07,2.54,2.09,2.09,2.13,2.2,2.29,2.46,2.68,2.94,59
16-Nov,1.9,2.09,2.4,2.98,2.11,2.24,2.39,2.54,2.67,2.9,3.14,3.43,90
16-Dec,1.91,2.23,2.62,3.33,2.15,2.38,2.6,2.79,2.97,3.23,3.49,3.79,111
17-Jan,1.89,2.24,2.61,3.23,2.14,2.42,2.65,2.83,2.99,3.24,3.47,3.73,105
17-Feb,1.88,2.2,2.61,3.28,2.11,2.36,2.61,2.82,3,3.26,3.51,3.8,115
17-Mar,1.86,2.15,2.55,3.27,2.08,2.32,2.57,2.79,2.98,3.25,3.51,3.82,119
17-Apr,1.83,2.1,2.41,3.04,2.06,2.29,2.5,2.69,2.84,3.09,3.34,3.62,104
17-May,1.81,1.99,2.38,2.93,2.04,2.26,2.47,2.66,2.82,3.07,3.31,3.58,105
17-Jun,1.8,1.95,2.46,2.76,2.02,2.21,2.39,2.56,2.7,2.93,3.17,3.42,96
17-Jul,1.81,2,2.63,2.97,2.05,2.26,2.48,2.66,2.82,3.08,3.33,3.58,107
17-Aug,1.89,2.03,2.47,2.89,2.01,2.18,2.35,2.51,2.66,2.91,3.16,3.42,99
17-Sep,1.9,2.05,2.5,2.91,2.02,2.19,2.36,2.52,2.67,2.91,3.16,3.41,98
17-Oct,1.89,2.06,2.52,2.97,2.02,2.19,2.37,2.55,2.7,2.96,3.23,3.47,104
17-Nov,1.85,1.98,2.41,2.84,2,2.17,2.33,2.49,2.64,2.88,3.14,3.38,97
17-Dec,1.8,1.92,2.32,2.76,1.99,2.17,2.35,2.5,2.64,2.87,3.11,3.36,94
18-Jan,1.79,1.97,2.42,2.88,1.99,2.2,2.4,2.56,2.71,2.96,3.21,3.46,101
18-Feb,1.77,1.88,2.41,2.96,1.99,2.17,2.37,2.56,2.72,3,3.27,3.51,110
18-Mar,1.76,1.9,2.37,2.87,2.06,2.23,2.4,2.56,2.7,2.94,3.18,3.43,96
18-Apr,1.78,1.92,2.37,2.82,2.13,2.28,2.44,2.59,2.72,2.94,3.18,3.43,90
18-May,1.79,1.86,2.32,2.78,2.08,2.23,2.39,2.55,2.69,2.93,3.18,3.44,95
18-Jun,1.78,1.87,2.28,2.9,2.09,2.23,2.38,2.52,2.66,2.89,3.13,3.4,91
18-Jul,1.77,1.82,2.15,2.81,2.03,2.15,2.28,2.42,2.55,2.78,3.03,3.29,88
18-Aug,1.74,1.72,2,2.63,1.97,2.04,2.15,2.28,2.41,2.65,2.91,3.16,87
18-Sep,1.72,1.67,1.93,2.59,1.95,2,2.1,2.21,2.34,2.59,2.86,3.12,86
18-Oct,1.73,1.77,1.98,2.61,1.94,2.02,2.12,2.24,2.37,2.61,2.88,3.13,86
18-Nov,1.81,1.88,2.11,2.68,2.02,2.13,2.26,2.39,2.51,2.74,2.99,3.24,86
18-Dec,1.74,1.75,1.92,2.44,1.99,2.03,2.11,2.21,2.31,2.52,2.75,3,72
19-Jan,1.7,1.69,1.79,2.32,1.91,1.92,1.97,2.05,2.14,2.35,2.59,2.85,68
19-Feb,1.69,1.68,1.69,2.17,1.88,1.87,1.9,1.96,2.04,2.22,2.46,2.73,59
