Date,SVENY01,SVENY02,SVENY03,SVENY04,SVENY05,SVENY06,SVENY07,SVENY08,SVENY09,SVENY10,SVENY11,SVENY12,SVENY13,SVENY14,SVENY15,SVENY16,SVENY17,SVENY18,SVENY19,SVENY20,SVENY21,SVENY22,SVENY23,SVENY24,SVENY25,SVENY26,SVENY27,SVENY28,SVENY29,SVENY30
2022-04-30,2.1414,2.7184,2.8933,2.9324,2.9325,2.9268,2.925,2.9285,2.9365,2.9477,2.9608,2.975,2.9894,3.0037,3.0176,3.0309,3.0434,3.0552,3.0663,3.0766,3.0862,3.0952,3.1035,3.1112,3.1184,3.1252,3.1315,3.1373,3.1428,3.1479
2022-03-31,1.7244,2.3166,2.4844,2.4899,2.4479,2.4043,2.374,2.3591,2.3569,2.364,2.3769,2.3933,2.4112,2.4296,2.4476,2.4649,2.4811,2.4962,2.5102,2.5231,2.535,2.546,2.5561,2.5654,2.574,2.582,2.5895,2.5964,2.6028,2.6088
2022-02-28,1.0733,1.4607,1.6326,1.7073,1.744,1.7701,1.7969,1.8281,1.8634,1.9016,1.9411,1.9807,2.0191,2.0559,2.0905,2.1228,2.1527,2.1803,2.2057,2.229,2.2505,2.2702,2.2884,2.3052,2.3207,2.3351,2.3484,2.3608,2.3724,2.3832
2022-01-31,0.8,1.1794,1.4037,1.5417,1.6325,1.6979,1.7499,1.7946,1.8351,1.8728,1.9082,1.9416,1.9729,2.0022,2.0295,2.0548,2.0782,2.0998,2.1198,2.1381,2.1551,2.1707,2.1851,2.1985,2.2108,2.2223,2.233,2.2429,2.2522,2.2608
2021-12-31,0.4226,0.7551,0.986,1.1499,1.2699,1.3612,1.4335,1.4934,1.545,1.5907,1.6322,1.6705,1.7062,1.7396,1.771,1.8004,1.8282,1.8542,1.8787,1.9016,1.9231,1.9433,1.9621,1.9798,1.9964,2.0119,2.0264,2.0401,2.0529,2.065
2021-11-30,0.2359,0.5475,0.8247,1.0226,1.1613,1.2628,1.3412,1.405,1.4592,1.5065,1.5486,1.5867,1.6213,1.653,1.6822,1.7091,1.7339,1.7569,1.7782,1.7979,1.8162,1.8333,1.8492,1.864,1.8778,1.8907,1.9027,1.914,1.9246,1.9346
2021-10-31,0.1812,0.487,0.7801,1.0128,1.1892,1.3231,1.4268,1.5094,1.5771,1.6339,1.6826,1.725,1.7624,1.7958,1.8259,1.853,1.8777,1.9003,1.9209,1.94,1.9575,1.9737,1.9887,2.0026,2.0155,2.0276,2.0389,2.0494,2.0593,2.0685
2021-09-30,0.1052,0.29,0.5466,0.7907,0.9984,1.1684,1.3063,1.419,1.5123,1.591,1.6585,1.7175,1.7698,1.8167,1.8592,1.8981,1.9339,1.967,1.9978,2.0266,2.0534,2.0787,2.1024,2.1247,2.1458,2.1656,2.1844,2.2022,2.219,2.235
2021-08-31,0.0897,0.221,0.4161,0.6123,0.7884,0.9402,1.0698,1.1806,1.2764,1.3601,1.4342,1.5003,1.5599,1.6139,1.6632,1.7084,1.7499,1.7882,1.8237,1.8565,1.887,1.9153,1.9417,1.9663,1.9893,2.0108,2.031,2.0498,2.0676,2.0843
2021-07-31,0.084,0.1934,0.3631,0.5424,0.7109,0.862,0.9951,1.1117,1.2142,1.3047,1.3851,1.4571,1.5217,1.5801,1.6332,1.6815,1.7256,1.766,1.8032,1.8374,1.8689,1.8981,1.9252,1.9503,1.9736,1.9953,2.0156,2.0345,2.0523,2.0689
2021-06-30,0.1013,0.2557,0.4694,0.6865,0.8848,1.0577,1.2056,1.3313,1.4385,1.5303,1.6097,1.6789,1.7399,1.794,1.8424,1.886,1.9256,1.9616,1.9946,2.0249,2.0529,2.0788,2.1028,2.1251,2.1459,2.1654,2.1836,2.2006,2.2166,2.2317
2021-05-31,0.0678,0.1419,0.3314,0.5653,0.8046,1.0293,1.2304,1.4053,1.5545,1.6805,1.7862,1.8744,1.9482,2.0101,2.0622,2.1065,2.1446,2.1776,2.2068,2.2329,2.2567,2.2787,2.2994,2.3192,2.3383,2.357,2.3756,2.394,2.4124,2.431
2021-04-30,0.0742,0.1684,0.3779,0.6275,0.8768,1.106,1.3072,1.4786,1.6219,1.7404,1.8377,1.9176,1.9833,2.0377,2.0833,2.1221,2.1559,2.1859,2.2132,2.2388,2.2632,2.287,2.3106,2.3344,2.3584,2.383,2.4082,2.4342,2.4608,2.4882
2021-03-31,0.0747,0.1683,0.3967,0.6694,0.9395,1.1854,1.3988,1.579,1.7284,1.851,1.9511,2.0329,2.1,2.1553,2.2016,2.2409,2.275,2.3051,2.3324,2.3577,2.3817,2.4049,2.4277,2.4504,2.4732,2.4963,2.5198,2.5439,2.5684,2.5936
2021-02-28,0.0956,0.1654,0.3433,0.5569,0.7704,0.9677,1.1429,1.2956,1.4273,1.5406,1.6382,1.7226,1.7959,1.8599,1.9163,1.9662,2.0107,2.0506,2.0866,2.1193,2.149,2.1763,2.2013,2.2245,2.2459,2.2658,2.2844,2.3017,2.318,2.3332
2021-01-31,0.0998,0.1132,0.2025,0.3317,0.4779,0.6268,0.7701,0.9034,1.0246,1.1332,1.2296,1.3149,1.3901,1.4564,1.5152,1.5676,1.6146,1.6571,1.696,1.7319,1.7655,1.7972,1.8275,1.8566,1.885,1.9128,1.9402,1.9673,1.9943,2.0213
2020-12-31,0.1172,0.1156,0.178,0.2756,0.39,0.5093,0.6265,0.7373,0.8398,0.9331,1.0175,1.0933,1.1613,1.2224,1.2775,1.3275,1.3731,1.415,1.4539,1.4903,1.5247,1.5574,1.5889,1.6193,1.6489,1.678,1.7066,1.7349,1.7629,1.7908
2020-11-30,0.1269,0.1417,0.205,0.2936,0.3931,0.4948,0.5939,0.6876,0.7749,0.8555,0.9297,0.9979,1.0607,1.1188,1.1728,1.2232,1.2705,1.3152,1.3575,1.3978,1.4364,1.4734,1.509,1.5435,1.5767,1.609,1.6404,1.6708,1.7004,1.7293
2020-10-31,0.1441,0.1517,0.2153,0.3077,0.4124,0.5195,0.6236,0.722,0.8135,0.8979,0.9754,1.0467,1.1125,1.1733,1.2299,1.2828,1.3326,1.3796,1.4242,1.4667,1.5074,1.5465,1.584,1.6202,1.6553,1.6891,1.7219,1.7538,1.7847,1.8147
